Company Name,Industry,Sub-Industry / Activity,Confidence,Source,Rows in source list
MEGASTRIKE MIDDLE EAST & AFRICA FZCO,Chemicals Distribution,Polymers & chemicals trading,Medium,Name-derived,3
MEGASTRIKE MIDDLE EAST POLYMERS TRADING LLC,Chemicals Distribution,Polymers trading,High,Name-derived,1
MELDEN ADVISORY DMCC,Professional Services,Corporate / financial advisory,High,Name-derived,3
MERIDIAN EXPRESS LOGISTICS LLC,Logistics & Supply Chain,Freight & logistics,High,Name-derived,1
METRO INTERNATIONAL LLC,Manufacturing - Paper & Packaging,"Drum/can closures, packaging components & filtration",High,Web-verified,3
METRO INTERNATIONAL MEDICAL CENTER PHARMACY L.L.C,Pharmacy Retail,Clinic pharmacy,High,Name-derived,1
MEVAGO BUSINESS RESOURCES EST,Professional Services,Business services,Low,Name-derived,1
MFIVE SERVICES,Unclassified,Insufficient information in name,Low,Name-derived,3
MIDDLE EAST FACTORY L. L. C,Manufacturing,Industrial manufacturing,Low,Name-derived,1
MIDDLE EAST FUJI LLC,Elevators & Escalators,Lift supply & installation,High,Name-derived,3
MIDDLE EAST GROUP (FZE),Trading & Distribution,International trading,Low,Name-derived,1
MIDHAT PASHA CAFE L.L.C,Food Service,Cafe,High,Name-derived,1
MINERAL CIRCLES BEARINGS FZE,Industrial Distribution,Bearings & power transmission,High,Name-derived,10
MIRAJKAR GENERAL TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
MIRAK ROYAL NATURE FRUITS AND VEGETABLES,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,3
MISTER BAKER LLC,Manufacturing - Food,Bakery & cakes,High,Name-derived,4
MIX DESIGN CEMENT PRODUCT TRADING,Building Materials Trading,Cement products,High,Name-derived,1
MIX PARTS L. L. C.,Automotive Parts Trading,Auto spare parts trading (inferred - not found online),Low,Web-verified,1
MK GLOBAL STEEL & TIMBER TRADING FZCO,Steel & Metals Trading,Steel & timber trading,High,Name-derived,1
MMJ SECURITY AND SAFETY,Security Services,Security & safety systems,High,Name-derived,1
MODERN KEY TREND GENERAL TRADING (L.L.C),Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
MODPAK LLC,Manufacturing - Paper & Packaging,Packaging,High,Name-derived,1
MOHAMED ALI MOIDEEN DRUG STORE - FZE,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived,8
MOHAMED ALI MOIDEEN KUTTY GENERAL TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,8
MOHAMED MOHIUDEEN GENERAL TRADING COMPANY LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
MOHAMMAD JAWAD YOUSUF KHOORY,Individual / Personal Account,Named individual / sole trader,Medium,Name-derived,1
MOHAMMAD MATTAR BIN LAHEJ TRADING CO. L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
MOHAMMED ALI GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
MOHAMMED ALSAEED GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived,5
MOHD AHMED ZAMIN PIMA TRADING COMPANY LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
MOHD ALI AL BALOOSHI TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
MOHD MANSOOR TRADING L. L. C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
MOHD RIYAZ GROUP,Diversified Group,Diversified group,Low,Name-derived,1
MOHEBI LOGISTICS,Logistics & Supply Chain,"3PL, warehousing & distribution",High,Name-derived,3
MOHEBZADA GROUP OF COMPANIES,Diversified Group,Diversified group,Medium,Name-derived,2
MOHIDEEN GENERAL TRADING L.L.C (SOLE PROPRIETORSHIP),Trading & Distribution,General trading & wholesale,Medium,Name-derived,8
MOHIDEEN TRADERS - FISH MARKET,Fresh Produce & Grocery,Fish wholesale,High,Name-derived,1
MOHIDEEN VEGETABLE - AL HABAY FOOD STUFF DIVISION,Fresh Produce & Grocery,Vegetables & foodstuff,High,Name-derived,2
MOIDEEN TRADERS L.L.C.,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
MORA GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
MORYA GROUP,Diversified Group,Diversified group,Low,Name-derived,2
MOTIVE INTERNATIONAL TRADING,Trading & Distribution,General trading,Low,Name-derived,1
MQ HOLDING GROUP LLC,Investment & Holding,Holding company,Medium,Name-derived,3
MS ARCHITECTURE & DESIGN,Architecture & Design,Architectural design,High,Name-derived,1
MSHAKEK FOODSTUFF CATERING,Food Service,Catering,High,Name-derived,5
MSHKAK GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
MTM & O GOLD REFINERY DMCC,Jewellery & Precious Metals,Gold refining,High,Name-derived,1
MUC MIDDLE EAST ENGINEERING CONSULTANCY,Engineering Consultancy,Design & supervision consultancy,High,Name-derived,1
MUDIN AL EMARATE BLDG. CONT LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
MUDIN AL EMARATE HOSPITALITY,Hospitality,Hospitality services,Medium,Name-derived,2
MULTI COMMERCE FZC,Trading & Distribution,General trading,Low,Name-derived,2
MULTI COMMODITY GENERAL TRADING FZE,Commodity Trading,Commodity trading,Medium,Name-derived,1
MULTI GRAIN TRADING LLC,Commodity Trading,Grain trading,High,Name-derived,1
MULTI PRODUCTS ENTERPRISE L. L. C,Trading & Distribution,General trading,Low,Name-derived,4
MULTI TRADE LIMITED FZC,Trading & Distribution,General trading,Low,Name-derived,4
MULTILINK CONTRACTING L.L.C.,Construction & Contracting,Building & civil contracting,Medium,Name-derived,3
MULTIPLEX CONSTRUCTION LLC,Construction & Contracting,Main contractor,High,Name-derived,4
MUNCHERIE ORGANIC FOOD MANUFACTURING LLC,Manufacturing - Food,Organic food production,High,Name-derived,3
MUSCAT PHARMACEUTICAL TRADING  LLC,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived,6
MUSCUT TECHNICAL EQUIPMENT LLC,Industrial Equipment,Technical equipment supply,Medium,Name-derived,1
NAD SHABEEB WASTE COLLECTION & TRANSPORTING,Recycling & Waste,Waste collection & transport,High,Name-derived,6
NAF CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
NAJEEB KADIRI TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
NAJMAT AL AWEER FRUIT AND VEGETABLES TRADING,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,1
NAJMAT YALWAN GENERAL TRADING L.L.C.,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
NAOS MIDDLE EAST DMCC,Cosmetics & Personal Care,Dermo-cosmetics (Bioderma / NAOS),High,Name-derived,3
NARESCO CONTRACTING L. L. C,Construction & Contracting,Building & civil contracting,Medium,Name-derived,9
NASCO TRADING LLC,Trading & Distribution,General trading,Low,Name-derived,4
NASEEB TEXTILES LLC,Textiles & Apparel Trading,Textile trading,High,Name-derived,1
NASEEM AL RAFAIDIAN TYRES & BATTERIES TRADING,Automotive Parts Trading,Tyres & batteries,High,Name-derived,3
NASEEM AL SAHEL VEGETABLES & FRUITS TRADING L.L.C,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,1
NASER MOHD NASER AL SAYER TRADING CO. L.L.C,Trading & Distribution,General trading,Low,Name-derived,3
NASIK FRUITS & VEGETABLES TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,4
NASMAT AL SABAH GENERAL TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
NASSER SAEED ALHAJRI & PARTNERS CONTRACTING COMPANY L.L.C.,Construction & Contracting,Industrial contracting (NSH),High,Name-derived,2
NATCORE TRADING FZE,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
NATIONAL ALUMINIUM & STEEL FACTORY (GINCO),Manufacturing - Metals,Aluminium & steel products,High,Name-derived,4
NATIONAL ELECTRICAL SYSTEM FZE.,Electrical Trading,Electrical products & systems,High,Name-derived,1
NATIONAL FLOWER CO. LLC,Florist & Gifts,Flowers wholesale,High,Name-derived,2
NATIONAL HOLDING AND AL MOJIL LLC,Diversified Group,Holding & contracting group,Medium,Name-derived,9
NATIONAL STORE LLC,Retail,Retail & distribution,Medium,Name-derived,4
NEOM PHARMACY - L.L.C - O.P.C,Pharmacy Retail,Community pharmacy,High,Name-derived,1
NEON ENERGY GROUP,Energy,Energy solutions,Medium,Name-derived,2
NETCO NETWORK SECURITY SOLUTIONS LLC,IT Services,Network & cyber security solutions,High,Name-derived,3
NEURO SPINAL HOSPITAL,Healthcare,Specialty hospital - neuro & spine,High,Name-derived,15
NEW AL FARWANIYA SURGICALS & MEDICAL EQUIPMENT L.L.C.,Medical Supplies,Surgical & medical equipment,High,Name-derived,5
NEW BM TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
NEW FASHION GALLERY LLC,Retail,Fashion retail,High,Name-derived,2
NEW FASHION TRACK ENTERPRISES LLC,Textiles & Apparel Trading,Fashion trading,Medium,Name-derived,2
NEW GREEN CITY STAR RESTAURANT LLC,Food Service,Restaurant,High,Name-derived,3
NEW POWER ELECTRICAL AND BUILDING MATERIALS - SOLE PROPRIETORSHIP L.L.C.,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,1
NEW SYSTEM ENGINEERING LLC,Engineering Services,Engineering services,Medium,Name-derived,3
NEW WORLD CENTER,Unclassified,Insufficient information in name,Low,Name-derived,1
NEW WORLD CO. LLC,Unclassified,Insufficient information in name,Low,Name-derived,2
NEWELL ELECTROMECHANICAL WORKS LLC,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,1
NIC GALLERY CARPETS & HOME DECOR LLC,Furniture & Interiors,Carpets & home decor,High,Name-derived,2
NICE AUTO SPARE PARTS LLC,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,1
NICE GROUP OF COMPANIES,Diversified Group,Diversified group,Low,Name-derived,1
NIKON MIDDLE EAST FZE,Consumer Electronics,Imaging & optics distribution (Nikon),High,Name-derived,2
NIL GIRI GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
NINE YARDS SHIPPING & LOGISTICS SERVICES LLC,Logistics & Supply Chain,Shipping & logistics,High,Name-derived,1
NISCO GENERAL CONTRACTING L.L.C,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
NITIN VENTURES FZE,Trading & Distribution,Commodity / general trading,Low,Name-derived,4
NIYOJAN CONNECTOR OVERSEAS LLP,Trading & Distribution,Export trading,Low,Name-derived,1
NORTH AFRICA SHIPPING CO,Shipping,Shipping & vessel operations,High,Name-derived,6
NORTH CASPIAN TRADING L.L.C,Trading & Distribution,General trading,Low,Name-derived,5
NOVA CHOICE GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
NSCO CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,3
NUMBER ONE HEAVY EQUIPMENT L.L.C,Heavy Equipment,Heavy equipment,High,Name-derived,1
OASIS STAR TRANSPORT BY HEAVY TRUCKS (L.L.C),Freight Transport,Heavy truck transport,High,Name-derived,1
OBS GROUP LLC,Diversified Group,Diversified group,Low,Name-derived,3
OCARS FOR CAR SPARE PARTS CO. L.L.C,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,1
OHIO GENERAL CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
OILEXEC EMPLOYMENT SOLE PROPRIETORSHIP LLC,HR & Recruitment,Oil & gas manpower supply,High,Name-derived,3
OKB FRUITS AND VEGETABLE TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,4
OPORTO MIDDLE EAST,Food Service,QSR franchise,High,Name-derived,3
ORANGE FOODSTUFF TRADING COMPANY LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
ORIENT LINKS CO. LLC,Paper & Packaging Trading,"Paper, board & tissue trading across MEA",High,Web-verified,4
ORIENTAL ESSENCE GENERAL TRADING LLC,Cosmetics & Personal Care,Fragrance / oud trading,Medium,Name-derived,1
OSUS AL-IBDAA MEDICAL COMPANY,Medical Supplies,Medical equipment & supplies,High,Name-derived,1
OTEX MEDICAL EQUIPMENTS TRADING LLC,Medical Supplies,Medical equipment trading,High,Name-derived,2
OTTOKRAFTOR VEHICLES SERVICES CO. LLC,Automotive Services,Vehicle services,High,Name-derived,1
OVERSEAS CANS & CONTAINERS LLC,Manufacturing - Paper & Packaging,Metal cans & containers,High,Name-derived,2
OVERSEAS DISTRIBUTION SERVICES INC,Distribution,Distribution services,Medium,Name-derived,3
OVIYAM INTERNATIONAL PTE LTD,Trading & Distribution,General trading,Low,Name-derived,2
OZONE PHARMACY L.L.C,Pharmacy Retail,Community pharmacy,High,Name-derived,1
PALLETCO LLC,Manufacturing - Paper & Packaging,Pallets manufacturing,High,Name-derived,2
PAN EMIRATES HOME FURNISHINGS LLC,Retail,Furniture & home furnishings retail,High,Name-derived,2
PANAGIA,Unclassified,Insufficient information in name,Low,Name-derived,1
PANAMERA LANDSCAPING L.L.C.,Landscaping,Landscape contracting,High,Name-derived,4
"PARCO GROUP, ABU DHABI REGION",Food & Beverage Trading,FMCG distribution,Medium,Name-derived,2
PARCO MIDDLE EAST LLC,Food & Beverage Trading,FMCG distribution,Medium,Name-derived,2
PARK MY CAR VALET PARKING SERVICES,Automotive Services,Valet parking services,High,Name-derived,1
PEIKKO GULF LLC,Manufacturing - Building Products,Concrete connection technology,High,Name-derived,1
PENTA EMIRATES CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,8
PERFECTION METAL INDUSTRIES LLC,Manufacturing - Metals,Metal products,High,Name-derived,4
PERORIENT BUILDING CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
PETROFOSSIL HOLDING FZC,Oil & Gas,Petroleum / energy holding,Medium,Name-derived,1
PETROKAN DMCC,Oil & Gas,Petroleum products trading,High,Name-derived,8
PETRONA GULF DWC LLC,Oil & Gas Services,Oilfield services & supply,High,Name-derived,3
PETRONA GULF PIPING LLC,Oil & Gas Services,Piping & fabrication,High,Name-derived,2
PHARMACY EXCELLENCY GHAYATHI POLY CLINICS L.L.C,Healthcare,Polyclinic & pharmacy,High,Name-derived,1
PHARMAETHICS MEDICAL SUPPLIES LLC,Medical Supplies,Medical supplies,High,Name-derived,1
PHOENIX CONTACT MIDDLE EAST FZ LLC,Manufacturing - Electrical,Industrial connectivity & automation,High,Name-derived,3
PHOENIX GLOBAL VALVE MANUFACTURING LLC,Manufacturing - Machinery,Industrial valves,High,Name-derived,1
PHYSIO-ART,Healthcare,Physiotherapy clinic,High,Name-derived,1
PICASSO GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
PLANTA LANDSCAPING AND IRRIGATION L.L.C,Landscaping,Landscape & irrigation,High,Name-derived,1
PLUGIN ELECTRICAL TRADING LLC,Electrical Trading,Electrical products & services,Medium,Name-derived,1
PLUS MARINE & ENGINEERING SERVICES FZE,Marine Services,Marine engineering services,High,Name-derived,1
PLUTUS GLOBAL PTE. LTD.,Trading & Distribution,International trading,Low,Name-derived,1
PORTICA GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
PREMIER AUTO SPARE PARTS LLC,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,1
PREPMEAL RESTAURANT L.L.C,Food Service,Meal prep & delivery,High,Name-derived,1
PRESS PACK TRADING L.L.C,Packaging Trading,Packaging materials trading,High,Name-derived,2
PRIDE CITY GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
PRIME MIDDLE EAST FZE,Manufacturing - Chemicals,"Industrial, refrigerant, medical & LPG gases",High,Web-verified,4
PRIME PETROLEUM FZC,Oil & Gas,Petroleum products trading,High,Name-derived,2
PRISM TRADING LLC,Trading & Distribution,General trading,Low,Name-derived,3
PRIVATE LIMOUSINE LLC,Passenger Transport,Limousine services,High,Name-derived,1
PROCOAT STEEL SOLUTIONS LLC,Metal Treatment Services,Steel coating & treatment,High,Name-derived,2
PROCON EMIRATES LLC,Construction Services,Fireproofing & surface protection contracting (Muehlhan Group),High,Web-verified,1
PROJECT LINK TRADING AND CONTRACTING WLL,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
PRONC TRADING LLC,Trading & Distribution,General trading,Low,Name-derived,1
PRONYX TRADING LLC,Trading & Distribution,General trading,Low,Name-derived,1
PROTON ELECTROMECHANICAL CONTRACTING LLC,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,4
PROTRADE INTERNATIONAL UAE,Trading & Distribution,"Master distributor - tools, electrical, plumbing, HVAC & building materials",High,Web-verified,5
PST PIONEER OILFIELD EQUIPMENT MANUFACTURING LTD,Oil & Gas Services,Oilfield equipment manufacturing,High,Name-derived,1
PT ROTARY ENGINEERING INDONESIA (A ROTARY COMPANY),Oil & Gas Services,EPC for oil & gas storage terminals,High,Name-derived,1
PURANMAL RESTAURANT,Food Service,Restaurant,High,Name-derived,2
PVE CRANES MIDDLE EAST LLC,Industrial Equipment,Cranes & piling equipment,High,Name-derived,5
PX TAC MILITARY EQUIPMENT TRADING COMPANY  LLC,Defence & Security Supply,Military & tactical equipment,High,Name-derived,1
QAIS CONTRACTING & ENGINEERING SERVICES CO. LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
QASIR AL KHAN USED ELECTRONICS DEVICES TRADING LLC,Consumer Electronics,Used electronics trading,High,Name-derived,1
QASSIM,Unclassified,Insufficient information in name,Low,Name-derived,1
QBURST MIDDLE EAST,Software & ERP,Software development & digital services,High,Name-derived,1
QUALIA ELECTRONICS TRADING LLC,Consumer Electronics,Electronics trading,High,Name-derived,7
QUALITY FABRICATION FZE,Manufacturing - Steel Fabrication,Steel fabrication,High,Name-derived,1
QUALITY INTERNATIONAL CO LTD FZC,Manufacturing - Steel Fabrication,Heavy steel & modular fabrication,High,Name-derived,3
QUALITY KITCHEN EQUIPMENT TRADING LLC,Commercial Kitchen Equipment,Kitchen equipment trading,High,Name-derived,6
QUALITY WIPES LLC,Manufacturing - Paper & Packaging,Wet wipes production,High,Name-derived,1
QUANTUM INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived,5
R A Q CONTRACTING CO.LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
RADIANT FILTERS TRADING CO LLC,Industrial Distribution,Filters & filtration products,High,Name-derived,1
RAK FISH AND FOOD DRYING LLC,Manufacturing - Food,Fish & food drying,High,Name-derived,3
RAK PORTS SUPPLY CHAIN SOLUTIONS LLC,Logistics & Supply Chain,Port-based supply chain services,High,Name-derived,11
RAK PROPERTIES CO PJSC,Real Estate,Master developer (listed),High,Name-derived,2
RAMAH GENERAL CONTRACTING & TRANSPORT LLC- S.P.C,Freight Transport,Road transport & haulage,Medium,Name-derived,5
RAMESH HIRA,Individual / Personal Account,"Named individual, not a company",Medium,Name-derived,7
RAMTECH SOFTWARE SOLUTIONS PRIVATE LIMITED,Software & ERP,Software development services,High,Name-derived,3
RANA MEDICAL CENTER PHARMACY,Pharmacy Retail,Clinic pharmacy,High,Name-derived,1
RAPID IMPACT COMPACTION CONTRACTING L.L.C,Construction Services,Ground improvement,High,Name-derived,1
RAVON INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
RAVON OFF ROAD PERFORMANCE AUTO REPAIRING GARAGE LLC,Automotive Services,Vehicle repair garage,High,Name-derived,1
RAYWOOD COMMUNICATIONS L. L. C.,Telecommunications,Communications services,Medium,Name-derived,1
RBI HAWKER,Unclassified,Insufficient information in name,Low,Name-derived,6
RBIH MIDDLE EAST FZE,Unclassified,Insufficient information in name,Low,Name-derived,1
RECHARGE QATAR W.L.L.,Telecommunications,Prepaid / recharge services,Medium,Name-derived,1
RED SEA HOUSING SERVICES COMPANY FZE,Manufacturing - Modular Buildings,Modular / portable accommodation,High,Name-derived,11
RELIABLE BUILDING MATERIAL TRADING L.L.C.,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,3
RESURGENT AV INTEGRATORS PVT. LTD,AV & Systems Integration,Audio-visual systems integration,High,Name-derived,6
RETAIL & BEYOND COMMERCIAL INVESTMENT L.L.C,Retail,Retail investment & operations,Medium,Name-derived,2
RETRO 7 CAFE,Food Service,Cafe,High,Name-derived,1
REVI REAL ESTATE DEVELOPMENT,Real Estate,Property development,High,Name-derived,2
RFM LOYALTY CO. LLC,Marketing Services,Loyalty & CRM programmes,High,Name-derived,1
RGM INTERNATIONAL GROUP LLC,Trading & Distribution,International trading,Low,Name-derived,2
RHEIN TOBACCO INTERNATIONAL FZ LLC,Manufacturing - Tobacco,Tobacco trading & manufacturing,High,Name-derived,4
RHINO INTERNATIONAL AUTO PARTS TRADING LLC,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,3
RHINO STEEL INDUSTRIES & COATING LLC,Manufacturing - Steel Fabrication,Steel products & coating,High,Name-derived,1
RIDA MIDDLE EAST GENERAL TRADING FZCO,Trading & Distribution,General trading,Medium,Name-derived,1
RIDA MIDDLE EAST VEHICLE BODIES MANUFACTURING LLC,Manufacturing - Automotive,Vehicle body building,High,Name-derived,8
RIDGE GROUP,Diversified Group,Diversified group,Low,Name-derived,2
RIGHT CHOICE EQUIPMENT TRADING LLC,Industrial Equipment,Equipment trading,Medium,Name-derived,2
RIGHT CHOICE GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
RIGHT CHOICE GENERAL TRADING L.L.C.,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
RIGHT FARM GENERAL TRADING LLC,Agriculture,Agriculture & agri-inputs,Medium,Name-derived,1
RINUM INTERNATIONAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
RIOT ART,Media & Entertainment,Art / creative studio,Low,Name-derived,1
RITTAL FZE,Manufacturing - Electrical,Enclosures & IT infrastructure (Rittal),High,Name-derived,5
RME MIDDLE EAST FZCO,Industrial Distribution,Welding consumables & CNC / steel fabrication equipment (Rywal-RHC),High,Web-verified,5
ROAMWORKS TRADING LLC,IoT & Telematics,Asset tracking & fleet telematics,High,Name-derived,6
ROBODH CONTRACTING L. L. C.,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
ROBODH-DHEERAJ JOINT VENTURE,Construction & Contracting,Contracting joint venture,High,Name-derived,1
ROCHAS TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
ROCKANY INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived,1
ROLMAN WORLD FZE,Industrial Distribution,"Bearings, power transmission & auto/industrial spare parts (NSK master distributor)",High,Web-verified,2
ROMA PROPERTY MANAGEMENT & GENERAL MAINTENANCE - SOLE PROPRIETORSHIP L.L.C.,Facilities Management,Property management & maintenance,High,Name-derived,1
ROOFINGS MIDDLE EAST FZC,Manufacturing - Building Products,Roofing systems,High,Name-derived,2
ROSE PARIS FLOWERS & GIFTS - ONE PERSON COMPANY LLC,Florist & Gifts,Flowers & gifts retail,High,Name-derived,1
ROSTOCK AUTO SPARE PARTS LLC CENTER,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,6
ROTARY ENGINEERING FUJAIRAHFZE,Oil & Gas Services,EPC for oil & gas storage terminals,High,Name-derived,15
ROVE AUTOMATION & INSTAL. WORKS L.L.C,Industrial Automation,Automation & installation,High,Name-derived,2
ROVE ELECTRIC LLC,Electrical Trading,Electrical products & services,Medium,Name-derived,2
ROY PAUL,Individual / Personal Account,"Named individual, not a company",Medium,Name-derived,1
ROYAL ATLAS GENERAL TRANSPORT SOLE PROPRIETORSHIP LLC,Freight Transport,Road transport,High,Name-derived,2
ROYAL FRUIT LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,3
ROYAL MELODY CAR PARK RENTAL AND MANAGEMENT LLC,Automotive Services,Parking management,High,Name-derived,2
ROYAL PHARMACEUTICAL DRUG STORE LLC,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived,2
RSG GLOBAL LLC,Cold Storage & Warehousing,Temperature-controlled / frozen foodstuff warehousing,High,Web-verified,3
RTC TECHNICAL TRADING  LLC- SPC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
RUKIN AL BASMAH BUILDING CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
RVS GROUP,Diversified Group,Diversified group,Low,Name-derived,5
S H T C TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
"S.K ALLIED INTERNATIOANL L.L,C",Retail,Food retail,Medium,Web-verified,1
S W M E CONTROL SYSTEMS TRADING LLC,Industrial Automation,Control systems supply,High,Name-derived,2
SAAD PRECAST LLC,Manufacturing - Building Products,Precast concrete,High,Name-derived,3
SAADCO GROUP,Diversified Group,Diversified group,Low,Name-derived,1
SAAS HEALTH CARE INVESTMENT L.L.C,Healthcare,Healthcare investment & operations,Medium,Name-derived,2
SACOOR BROTHERS GROUP,Retail,Fashion retail chain,High,Name-derived,1
SADAT FOODSTUFF TRADING L.L.C.,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
SAEED ALZAABI GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
SAEED ALZAABI TYRE FACTORY LLC.,Manufacturing - Automotive,Tyre retreading / production,High,Name-derived,2
SAEED SALEM KHALFAN SSK ENTERPRISES LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
SAFA TRADING,Trading & Distribution,General trading,Low,Name-derived,1
SAFE LINE ELECTRICAL & MECHANICAL LLC,Electrical Trading,Electrical products & services,Medium,Name-derived,1
SAFE LINE GROUP OF COMPANIES LLC,Diversified Group,Electromechanical & trading group,Medium,Name-derived,6
SAFETY ELECTRICAL TRADING COMPANY,Electrical Trading,Electrical products & services,Medium,Name-derived,1
SAFINAT AL SAHRAA TRADING CO. L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,5
SAIGOL & GULF LIMITED COMPANY LLC,Food & Beverage Trading,"Snacks, crisps, biscuits & rice distribution",High,Web-verified,5
SALALAH FUTURE TRADING,Trading & Distribution,General trading,Low,Name-derived,2
SAMA ALKHAIR FOOD & BEVERAGES TRADING CO. LLC,Food & Beverage Trading,Food & beverage trading,High,Name-derived,1
SAQR PORT AUTHORITY,Ports & Terminals,Bulk port operations,High,Name-derived,3
SARGODHA ORGANIC AGRI PRODUCT VEGETABLES & FRUITS TRADING L.L.C,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,1
SAT INVESTMENTS LLC,Investment & Holding,Investment company,Medium,Name-derived,1
SAUD SHEHATHA CONSTRUCTION LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,5
SAVER GROCERY FOOD STUFF TRADING LLC,Retail,Grocery retail,High,Name-derived,1
SCI INTERNATIONAL TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
SEA FAST MARINE SERVICES LLC,Marine Services,Marine services,High,Name-derived,1
SEA WORLD FISH PROCESSING LLC,Manufacturing - Food,Seafood processing,High,Name-derived,2
SEEGENE MIDDLE EAST FZE,Medical & Diagnostics,Molecular diagnostics (Seegene),High,Name-derived,2
SEIDCO GENERAL CONTRACTING,Construction & Contracting,General contracting,High,Name-derived,3
SEVEN DAYS EQUIPMENT MAINTENANCE LLC,Equipment Maintenance,Equipment maintenance,High,Name-derived,3
